BRIN_NR;NAAM_INST;RAPPORTAGEMAAND;PERSOONSGEBONDENNUMMER;ACHTERNAAM;VOORVOEGSEL;ALLE_VOORNAMEN;WOONGEMEENTE;GEBOORTEDATUM;ONDERWIJSCODE;ONDERWIJSNAAM;LEERWEG;DATUM_UITSCHRIJVING;MELDING_VERZUIM_WETTELIJK;REDEN;BRIN;NAAM_INSTELLING;ONDERWIJSAANBIEDERCODE;NAAM_ONDERWIJSAANBIEDER;MELDING_VERZUIM_NIET_WETTELIJK;GEMEENTECODE;RMC_REGIO;REDEN_UITSTROOM;LOCATIECODE;ONDERWIJSLOCATIECODE;POSTCODE_ONDERWIJSLOCATIE;HUISNUMMER_ONDERWIJSLOCATIE;BRIN_VOLGNUMMER;NIVEAU;INSCHRIJVINGSVOLGNUMMER;STRAAT;HUISNUMMER;HUISLETTER;HUISNUMMER_TOEVOEGING;HUISNUMMER_AANDUIDING;ADRES_LOCATIE;POSTCODE;WOONPLAATS;VANAF_WANNEER
27GZ;ROC Mondriaan;202301;259516662;Coppens;;Rignad;VOORSCHOTEN;01-07-2000;25201;Eerste Monteur woning;BBL;;J;;27GZ;ROC Mondriaan;100A178;School voor Gezondheidszorg Den Haag;N;1690;REGIO 28;;;100X752;2612CA;15;;Mbo4 opleidingen;2;Lindenhof;78.0;;;;;2525ZM;VLAARDINGEN;202301
27GZ;ROC Mondriaan;202301;474868421;Berrhout;van der;Mila;AALSMEER;29-11-2003;25704;Basis technicus voertuigen en mobiele werktuigen;BOL;;J;;27GZ;ROC Mondriaan;100A172;School voor Retail en Logistiek Delft;N;592;REGIO 27;;;111X981;2593AN;7;;Mbo4 opleidingen;7;Kooiland;53.0;d;;;;2591EP;NIEUW VENNEP;202301
27GZ;ROC Mondriaan;202301;845220974;Uslu;;Demi Nouba Maria Marion;'S-GRAVENHAGE;08-08-2003;25334;Technicus engineering;BOL;;J;;27GZ;ROC Mondriaan;100A181;Beauty, Hair & Fashion;N;578;REGIO 28;;;100X758;2521DB;17;;Mbo4 opleidingen;1;Fruitlaan;244.0;;;;;2718BA;ZOETERMEER;202301
27GZ;ROC Mondriaan;202301;639672081;Gomes Leonor;;Ahmed;'S-GRAVENHAGE;23-08-2005;25753;Maatschappelijke Zorg;BOL;;J;;27GZ;ROC Mondriaan;100A179;International Hotel and Management School;N;1726;REGIO 28;;;100X747;2612CA;16;;Mbo4 opleidingen;1;De Gaullelaan;127.0;;;;;2721BM;ZOETERMEER;202301
27GZ;ROC Mondriaan;202301;952449406;Akrouh;de;Nour-eddine;WESTLAND;01-05-2005;25751;Leidinggevende leisure & hospitality;BOL;;J;;27GZ;ROC Mondriaan;100A191;School voor ICT;N;1809;REGIO 28;;;100X747;2493WN;48;;Mbo4 opleidingen;1;Huis te Landelaan;21.0;;;;;2525XB;HEERHUGOWAARD;202301
27GZ;ROC Mondriaan;202301;925697679;Uslu;van;Marijah;WESTLAND;24-10-2005;25387;Manager/ondernemer horeca;BOL;;J;;27GZ;ROC Mondriaan;100A174;School voor Pedagogische en Sociale beroepen;N;495;REGIO 28;;;100X746;2521DB;68;;Mbo4 opleidingen;1;Nieboerweg;55.0;;;;;2532BP;'S-GRAVENHAGE;202301
27GZ;ROC Mondriaan;202301;684993180;Khan;;Tijs;LEIDEN;07-01-2004;25173;(Junior) accountmanager;BOL;;J;;27GZ;ROC Mondriaan;100A190;VAVO Haaglanden;N;496;REGIO 28;;;100X746;2512ER;64;;Mbo4 opleidingen;1;Waldorpstraat;15.0;;;;;2641RM;KATWIJK ZH;202301
27GZ;ROC Mondriaan;202301;810654306;Martina;;Tessa;RIJSWIJK;17-03-2005;25552;Leidinggevende bediening;BOL;;J;;27GZ;ROC Mondriaan;100A177;School voor Economie en Juridische beroepen;N;494;REGIO 28;;;111X981;2493WN;68;;Mbo4 opleidingen;1;Waterlelie;155.0;;;;;2613XG;'S-GRAVENHAGE;202301
27GZ;ROC Mondriaan;202301;332376025;Mutsaers;de la;Elias Melle;DE RONDE VENEN;15-02-2004;25632;Vavo Havo Nieuw Profiel Economie en Maatschappij;BBL;;J;;27GZ;ROC Mondriaan;100A189;School voor Zorg en Welzijn Leiden;N;520;REGIO 26;;;100X755;2493WN;1;;Mbo4 opleidingen;3;Waterland;;;;;;2525LP;PURMEREND;202301
27GZ;ROC Mondriaan;202301;789524530;Steendam;van;Noor;WESTLAND;07-01-2004;25586;Servicemedewerker gebouwen;BBL;;J;;27GZ;ROC Mondriaan;100A174;School voor Business support;N;498;REGIO 29;;;100X746;2493WN;7;;Mbo4 opleidingen;1;Prins Hendrikstraat;140.0;;;;;2543AN;HELLEVOETSLUIS;202301
27GZ;ROC Mondriaan;202301;223768133;Zwan;Van;Ohm Viswe Naath;TEYLINGEN;10-06-2003;25230;Vavo Havo Nieuw Profiel Cultuur en Maatschappij;BBL;;J;;27GZ;ROC Mondriaan;100A176;School voor Horeca & Facilitaire dienstverlening;N;1807;REGIO 28;;;100X746;2332AA;69;;Mbo2 opleidingen;2;Van Alkemadestraat;114.0;c;;;;2671ZN;Maasdijk;202301
27GZ;ROC Mondriaan;202301;923284590;Korendijk;Ben;Summeyye;'S-GRAVENHAGE;19-09-2003;25563;Entree;BOL;;J;;27GZ;ROC Mondriaan;100A196;VAVO Haaglanden;N;1761;REGIO 29;;;100X746;2521DB;5;;Mbo4 opleidingen;1;Het Zicht;24.0;;;;;2273HV;'S-GRAVENHAGE;202301
27GZ;ROC Mondriaan;202301;407846338;Mitev;van;Shaynée Shayna Maria;BERGEN OP ZOOM;26-01-2000;23120;Schoonheidsspecialist;BOL;;J;;27GZ;ROC Mondriaan;100A181;School voor Toerisme en Recreatie;N;1803;REGIO 28;;;100X752;2672ZX;70;;HAVO/VWO bovenbouw;2;Loosduinseweg;227.0;;;;;3721RE;DELFT;202301
27GZ;ROC Mondriaan;202301;732561380;Huijser;;Rabia Melisa;'S-GRAVENHAGE;05-11-1999;25175;Timmerman;BOL;;J;;27GZ;ROC Mondriaan;100A189;School voor Autotechniek en Mobiliteit;N;503;REGIO 28;;;100X747;2612CA;1;;Mbo4 opleidingen;1;Van Alkemadestraat;131.0;;;;;2573ZE;POELDIJK;202301
27GZ;ROC Mondriaan;202301;195588878;Ede;;Lieke Sofie;WESTLAND;07-06-2004;25351;Coördinator beveiliging;BBL;;J;;27GZ;ROC Mondriaan;100A174;School voor Toerisme en Recreatie;N;507;REGIO 27;;;100X758;2544ED;70;;Mbo3 opleidingen;5;Wippolderstraat;245.0;;;;;2718KA;ALMERE;202301
27GZ;ROC Mondriaan;202301;172877880;Yildiz;van;Mustafa Can;MIDDEN-DELFLAND;13-04-2005;5682;Bedrijfsadministrateur;BOL;;J;;27GZ;ROC Mondriaan;100A172;School voor Lifestyle, Sport en Bewegen;N;507;REGIO 28;;;100X758;2512ER;6;;Mbo4 opleidingen;3;Pluimzegge;28.0;;;;;2291BP;'S-GRAVENHAGE;202301
27GZ;ROC Mondriaan;202301;118859460;Kaynak;van;Jason;'S-GRAVENHAGE;25-06-2003;25633;Leidinggevende bediening;BBL;;J;;27GZ;ROC Mondriaan;100A175;School voor Entreeopleidingen;N;350;REGIO 28;;;100X746;2493WN;9;;Mbo4 opleidingen;A2;Noorderhavenkade;138.0;;;;;2511XH;'S-GRAVENHAGE;202301
27GZ;ROC Mondriaan;202301;437583268;Bakker;;Kevin;'S-GRAVENHAGE;07-04-2003;25806;Pedagogisch medewerker kinderopvang;BOL;;J;;27GZ;ROC Mondriaan;100A174;School voor Autotechniek en Mobiliteit;N;1699;REGIO 28;;;100X746;2544ED;8;;Mbo4 opleidingen;1;Bunchestraat;30.0;;;;;2625TS;ZOETERMEER;202301
27GZ;ROC Mondriaan;202301;412147790;Haan;;Teun;'S-GRAVENHAGE;22-01-2003;25180;Kok;BOL;;J;;27GZ;ROC Mondriaan;100A192;School voor Business support;N;148;REGIO 28;;;100X750;2512ER;7;;Mbo4 opleidingen;2;Marellaan;136.0;D;;;;2493CT;HAZERSWOUDE-DORP;202301
27GZ;ROC Mondriaan;202301;746553795;Ajodhia;de;Thomas;ZOETERMEER;27-03-2002;25474;Zelfstandig werkend gastheer/-vrouw;BOL;;J;;27GZ;ROC Mondriaan;100A182;International Hotel and Management School;N;501;REGIO 26;;;100X746;2544ED;18;;Mbo4 opleidingen;2;Strawinskypad;;;;50;;2548VJ;HAZERSWOUDE DORP;202301
27GZ;ROC Mondriaan;202301;619346751;Resida;;Ashley;'S-GRAVENHAGE;22-06-2002;25413;Legal, Insurance & HR Services Specialist;BBL;;J;;27GZ;ROC Mondriaan;100A178;School voor Lifestyle, Sport en Bewegen;N;1705;REGIO 19;;;111X981;2544ED;7;;Mbo4 opleidingen;3;Maarsbergenstraat;19.0;;;;;2526NP;BEVERWIJK;202301
27GZ;ROC Mondriaan;202301;233367816;Jharap;van den;Thijs Thijmen;WESTLAND;15-01-2006;25333;Manager mobiliteitsbranche;BOL;;J;;27GZ;ROC Mondriaan;100A172;School voor Retail en Logistiek Delft;N;1794;REGIO 28;;;100X757;2544AH;16;;Mbo4 opleidingen;1;De Vroomedijk;158.0;;;;;2221XM;ZOETERMEER;202301
27GZ;ROC Mondriaan;202301;244510059;Masoud;;Anthony;'S-GRAVENHAGE;28-06-2002;25302;Mbo- Verpleegkunde;BOL;;J;;27GZ;ROC Mondriaan;100A187;School voor Pedagogische en Sociale beroepen;N;476;REGIO 28;;;100X746;2493WN;4;;Mbo4 opleidingen;1;Heinenoordstraat;114.0;;;;;;'S-GRAVENHAGE;202301
27GZ;ROC Mondriaan;202301;526273877;Moeharram;van 't;Thomas Lucas;'S-GRAVENHAGE;28-05-2004;25326;Assistent horeca, voeding of voedingsindustrie;BBL;;J;;27GZ;ROC Mondriaan;100A177;School voor Zorg en Welzijn Den Haag;N;1785;REGIO 10;;;100X751;2493WN;70;;Mbo3 opleidingen;1;Ammunitiehaven;21.0;A;;;;2574KE;TER HEIJDE;202301
27GZ;ROC Mondriaan;202301;836087890;Blindeling;;Lenny;'S-GRAVENHAGE;14-03-2004;25715;Assistent verkoop/retail;BOL;;J;;27GZ;ROC Mondriaan;100A172;School voor Horeca & Facilitaire dienstverlening;N;1662;REGIO 26;;;100X750;2544ED;15;;Mbo4 opleidingen;1;Kastanjeplein;102.0;;;;;2263HE;DELFT;202301
27GZ;ROC Mondriaan;202301;193112693;Krens;;Jonathan Miguel;'S-GRAVENHAGE;30-06-2004;25227;Sport en Bewegen;BOL;;J;;27GZ;ROC Mondriaan;100A196;International Hotel and Management School;N;494;REGIO 28;;;100X750;2595GA;1;;Mbo4 opleidingen;1;Terpmeent;242.0;;;;;2551NM;DELFT;202301
27GZ;ROC Mondriaan;202301;309198202;Duijvenbode;;Otto;'S-GRAVENHAGE;28-10-2001;25308;Pedagogisch medewerker kinderopvang;BOL;;J;;27GZ;ROC Mondriaan;100A189;VAVO Haaglanden;N;1723;REGIO 28;;;100X750;2493WN;45;;Mbo4 opleidingen;1;Fruitweg;249.0;;;;;2242NJ;'S-GRAVENHAGE;202301
27GZ;ROC Mondriaan;202301;922141391;Brabander;de;Ishana Puja;'S-GRAVENHAGE;03-11-2002;25782;Retailmanager;BOL;;J;;27GZ;ROC Mondriaan;100A179;VAVO Haaglanden;N;491;REGIO 28;;;100X753;2493WN;7;;HAVO/VWO bovenbouw;1;De Dreef;131.0;;;;;2641ZJ;'S-GRAVENHAGE;202301
27GZ;ROC Mondriaan;202301;621998506;Kerger;;Maddy Mariama;'S-GRAVENHAGE;29-11-2004;25586;Medewerker ICT support;BOL;;J;;27GZ;ROC Mondriaan;100A172;School voor Zorg en Welzijn Den Haag;N;502;REGIO 28;;;111X981;2544AH;14;;Mbo4 opleidingen;1;De Kaatse Hoeve;148.0;;;;;2573HB;RIJSWIJK ZH;202301
27GZ;ROC Mondriaan;202301;214405006;Schild;;Nnamdi Victor;RIJSWIJK;02-03-2006;25756;Mbo- Verpleegkunde;BOL;;J;;27GZ;ROC Mondriaan;100A172;School voor Gezondheidszorg Den Haag;N;508;REGIO 28;;;100X758;2595GA;16;;Mbo4 opleidingen;A5;Fazantlaan;123.0;;;;;2312TT;RIJSWIJK ZH;202301
27GZ;ROC Mondriaan;202301;918473731;Abiel Yohannes Asgedom;;Meagan Marie Bryanne;WESTLAND;15-12-2003;25732;Helpende Zorg en Welzijn;BOL;;J;;27GZ;ROC Mondriaan;100A174;VAVO Haaglanden;N;485;REGIO 28;;;100X753;2493WN;66;;Mbo4 opleidingen;1;;230.0;;;;;2573VX;'S-GRAVENHAGE;202301
27GZ;ROC Mondriaan;202301;859611875;Schaap;van;Thomas Maarten;TEYLINGEN;25-06-2003;25261;Manager/ondernemer horeca;BBL;;J;;27GZ;ROC Mondriaan;100A184;School voor Lifestyle, Sport en Bewegen;N;1790;REGIO 28;;;100X758;2521DB;9;;HAVO/VWO bovenbouw;1;Troelstrakade;118.0;A;;;;2273BE;IJSSELSTEIN UT;202301
27GZ;ROC Mondriaan;202301;389685428;Kuiper;;Larissa Jill;'S-GRAVENHAGE;20-05-2005;25557;Specialist mode/maatkleding;BOL;;J;;27GZ;ROC Mondriaan;100A177;School voor Retail en Logistiek Delft;N;547;REGIO 41;;;100X758;2521DB;1;;Mbo4 opleidingen;1;Oranjelaan;294.0;;;;;2263CB;WATERINGEN;202301
27GZ;ROC Mondriaan;202301;729285025;Veen;;Tom Jan-Jaap;ROTTERDAM;02-05-2000;25280;Zelfstandig medewerker travel & Hospitality;BOL;;J;;27GZ;ROC Mondriaan;100A180;VAVO Haaglanden;N;1788;REGIO 28;;;100X746;2544ED;7;;HAVO/VWO bovenbouw;1;Westerlookade;30.0;;;;;2245VV;RIJSWIJK ZH;202301
27GZ;ROC Mondriaan;202301;148078829;Doğan;;Noa;DELFT;04-01-2002;25247;Juridisch-administratief dienstverlener;BOL;;J;;27GZ;ROC Mondriaan;101A783;School voor Gezondheidszorg Den Haag;N;479;REGIO 28;;;100X746;2595GA;5;;Mbo4 opleidingen;1;Marktweg;18.0;;;;;2492MH;'S-GRAVENHAGE;202301
27GZ;ROC Mondriaan;202301;251416810;Schoonhoven;;Minaoushka Valentina;HAARLEMMERMEER;27-10-2001;25287;Assistant Fashion Tailor;;;J;;27GZ;ROC Mondriaan;100A179;School voor Technologie en Engineering;N;489;REGIO 28;;;100X753;2595GA;7;;Mbo4 opleidingen;2;Woensdrechthof;321.0;;;;;1448BC;DELFT;202301
27GZ;ROC Mondriaan;202301;536725655;Mungar;;Beraat;WESTLAND;17-09-2003;25240;Eerste Monteur woning;BBL;;J;;27GZ;ROC Mondriaan;100A176;School voor Zorg en Welzijn Leiden;N;503;REGIO 28;;;100X747;2544ED;1;;Mbo3 opleidingen;3;Gv Juliana v Stolbergln;126.0;e;;;;2525WX;RIJSWIJK ZH;202301
27GZ;ROC Mondriaan;202301;551158101;Nichatoglou;de;Esra;'S-GRAVENHAGE;28-01-2002;25368;Mbo-Verpleegkundige;BOL;;J;;27GZ;ROC Mondriaan;100A174;VAVO Haaglanden;N;486;REGIO 28;;;100X746;2595GA;6;;Mbo4 opleidingen;1;De Colignystraat;43.0;;;;;2525ET;VOORBURG;202301
27GZ;ROC Mondriaan;202301;818545304;Kroft;;Thomas Maarten;LEIDSCHENDAM-VOORBURG;07-01-2004;25585;Mbo- Verpleegkunde;BOL;;J;;27GZ;ROC Mondriaan;100A176;School voor Lifestyle, Sport en Bewegen;N;483;REGIO 28;;;100X750;2612CA;6;;Mbo4 opleidingen;1;Fazantlaan;27.0;;;;;2645MC;KATWIJK ZH;202301
27GZ;ROC Mondriaan;202301;849987257;Kerger;;Abdulai Gibril;WESTLAND;09-05-2001;25288;Servicemedewerker gebouwen;BOL;;J;;27GZ;ROC Mondriaan;100A172;School voor Gezondheidszorg Den Haag;N;485;REGIO 28;;;100X756;2595GA;15;;Mbo4 opleidingen;1;;28.0;;;;;2821ZE;'S-GRAVENHAGE;202301
27GZ;ROC Mondriaan;202301;321554903;Houtch;;Talita;BODEGRAVEN-REEUWIJK;17-09-2004;25576;Allround medewerker facilitaire dienstverlening;BOL;;J;;27GZ;ROC Mondriaan;100A178;School voor Gezondheidszorg Den Haag;N;438;REGIO 24;;;100X746;2544ED;47;;Mbo2 opleidingen;A1;Bunnikstraat;1.0;;;;;2631JA;OVERVEEN;202301
27GZ;ROC Mondriaan;202301;680727936;Kneppers;;Jelle;WESTLAND;21-09-2003;25263;Assistent horeca, voeding of voedingsindustrie;BOL;;J;;27GZ;ROC Mondriaan;100A196;School voor Metaal-, Elektro- en installatietechniek;N;1726;REGIO 28;;;100X753;2512ER;6;;Mbo4 opleidingen;1;Prins Bernhardlaan;216.0;;;;;2548NH;VOORBURG;202301
27GZ;ROC Mondriaan;202301;117056186;Khan;van;Ricardo;CAPELLE AAN DEN IJSSEL;14-06-2003;5637;Vavo Havo voorexamenklas;BOL;;J;;27GZ;ROC Mondriaan;100A173;School voor Toerisme en Recreatie;N;1814;REGIO 28;;;100X747;2332AA;31;;HAVO/VWO bovenbouw;1;Kraaijesteijn;20.0;A;;;;2718NE;NOOTDORP;202301
27GZ;ROC Mondriaan;202301;291454138;Flores;;Fatum;'S-GRAVENHAGE;25-03-2005;25536;Mbo- Verpleegkunde;BOL;;J;;27GZ;ROC Mondriaan;100A177;School voor Pedagogische en Sociale beroepen;N;1677;REGIO 26;;;100X746;2612CA;7;;Mbo4 opleidingen;3;Aletta Jacobsstraat;14.0;B;;;;2272XR;'S-GRAVENHAGE;202301
27GZ;ROC Mondriaan;202301;370764710;Hagelüken;van;Radja;ROTTERDAM;19-10-2002;25320;Coördinator sport- en bewegingsagogie;BOL;;J;;27GZ;ROC Mondriaan;100A189;School voor Pedagogische en Sociale beroepen;N;565;REGIO 28;;;100X753;2544ED;8;;Mbo3 opleidingen;1;Melis Stokelaan;57.0;;;;;2541HP;'S-GRAVENHAGE;202301
27GZ;ROC Mondriaan;202301;737998488;Jagesser;;Rick Oliver Neil;HAARLEMMERMEER;17-01-2001;25102;Begeleider specifieke doelgroepen;;;J;;27GZ;ROC Mondriaan;100A179;School voor Economie Delft;N;593;REGIO 28;;;100X756;2544AH;43;;Mbo1 opleidingen;1;Henriëtte Bosmansplein;134.0;;;;;2652BL;DELFT;202301
27GZ;ROC Mondriaan;202301;628886916;Meeberg;;Noa;'S-GRAVENHAGE;10-10-2002;25503;Sociaal werker;BOL;;J;;27GZ;ROC Mondriaan;100A174;Beauty, Hair & Fashion;N;1650;REGIO 28;;;100X747;2544ED;6;;Mbo4 opleidingen;1;;97.0;;;;;2551MX;'S-GRAVENHAGE;202301
27GZ;ROC Mondriaan;202301;913509113;Victor;van der;Rawan;OUDEWATER;15-01-2005;25272;Manager/ondernemer horeca;BOL;;J;;27GZ;ROC Mondriaan;100A186;School voor Maatschappelijke zorg en Verzorgende;N;509;REGIO 28;;;100X756;2612CA;7;;Mbo4 opleidingen;3;Vliegwielstraat;19.0;;;;;2533TZ;ZOETERMEER;202301
27GZ;ROC Mondriaan;202301;772077262;Hoogenboom;;Liam Cornelis;'S-GRAVENHAGE;28-06-2002;25347;Manager/ondernemer horeca;BOL;;J;;27GZ;ROC Mondriaan;100A178;School voor Gezondheidszorg Den Haag;N;1597;REGIO 28;;;100X750;2521DB;4;;Mbo4 opleidingen;1;Lau Mazirellaan;19.0;;;;;2562AV;'S-GRAVENHAGE;202301
27GZ;ROC Mondriaan;202301;590799490;Remmelzwaal;;Xenna Elise;'S-GRAVENHAGE;22-07-2001;25281;Assistent horeca, voeding of voedingsindustrie;BOL;;J;;27GZ;ROC Mondriaan;100A177;School voor Zorg en Welzijn Delft;N;497;REGIO 28;;;100X758;2672ZX;47;;Mbo4 opleidingen;1;Alexanderstraat;120.0;;;;;2492WJ;VOORBURG;202301
27GZ;ROC Mondriaan;202301;478456909;Montagne;;Youssef;'S-GRAVENHAGE;24-09-2002;25275;Mbo- Verpleegkunde;BBL;;J;;27GZ;ROC Mondriaan;100A187;School voor Gezondheidszorg Den Haag;N;1663;REGIO 28;;;100X750;2521DB;5;;Mbo4 opleidingen;1;Ruychaverstraat;10.0;;;;;2725DZ;DELFT;202301
27GZ;ROC Mondriaan;202301;149610560;Cattenburch;;Chaimae;WESTLAND;21-10-2000;25290;Technisch Specialist Personenauto's;BOL;;J;;27GZ;ROC Mondriaan;100A184;School voor Pedagogische en Sociale beroepen;N;581;REGIO 28;;;111X981;2493WN;1;;Mbo2 opleidingen;1;De la Reyweg;31.0;;;;;2551WX;'S-GRAVENHAGE;202301
27GZ;ROC Mondriaan;202301;524572603;Baalen;;Lotte Christina Wilhelmina;WESTLAND;01-12-1999;25327;Retailspecialist;BOL;;J;;27GZ;ROC Mondriaan;100A174;School voor Gezondheidszorg Den Haag;N;510;REGIO 28;;;100X756;2521DB;20;;Mbo3 opleidingen;1;Hermelijn;127.0;;;;;2721GM;ZOETERMEER;202301
27GZ;ROC Mondriaan;202301;838738482;Akdemir;;Kübra;'S-GRAVENHAGE;23-12-2005;25170;Ondernemer retail;BOL;;J;;27GZ;ROC Mondriaan;100A172;School voor Orde & Veiligheid;N;497;REGIO 28;;;100X756;2512ER;7;;Mbo4 opleidingen;1;Vermeerstraat;45.0;;;;;2555SZ;'S-GRAVENHAGE;202301
27GZ;ROC Mondriaan;202301;913868141;Scholten;;Angelika;ZOETERMEER;02-12-2005;23218;Manager/ondernemer horeca;BBL;;J;;27GZ;ROC Mondriaan;100A177;School voor Gezondheidszorg Den Haag;N;1787;REGIO 26;;;100X747;2493WN;8;;HAVO/VWO bovenbouw;2;Lijsterbeslaan;85.0;;;;;2515PJ;VLAARDINGEN;202301
27GZ;ROC Mondriaan;202301;249626143;Vliet;;Hicham;RIJSWIJK;13-03-2006;25678;Persoonlijk begeleider maatschappelijke zorg;;;J;;27GZ;ROC Mondriaan;101A729;School voor Zorg en Welzijn Leiden;N;505;REGIO 28;;;100X750;2493WN;1;;Mbo4 opleidingen;1;Wezelrade;200.0;;;;;2805GW;DELFT;202301
27GZ;ROC Mondriaan;202301;172799447;Noraddin;van;Rayane Aïssa;RIJSWIJK;18-10-2003;25654;Assistent dienstverlening;BOL;;J;;27GZ;ROC Mondriaan;100A172;School voor Lifestyle, Sport en Bewegen;N;511;REGIO 28;;;100X746;2493WN;9;;Mbo2 opleidingen;1;Schoutendreef;248.0;;;;;2571DG;BERGSCHENHOEK;202301
27GZ;ROC Mondriaan;202301;797576883;Harpal;;Jayden;'S-GRAVENHAGE;02-03-2001;25717;Legal, Insurance & HR Services Specialist;BOL;;J;;27GZ;ROC Mondriaan;100A191;School voor Maatschappelijke zorg en Verzorgende;N;487;REGIO 21;;;100X756;2612CA;69;;Mbo3 opleidingen;1;De Gaarde;11.0;;;;;2512AC;KATWIJK ZH;202301
27GZ;ROC Mondriaan;202301;372924094;Ateş;van den;Martina Halbertsje Marell;WESTLAND;10-01-2001;25595;Fashion Product Coordinator;BBL;;J;;27GZ;ROC Mondriaan;101A729;School voor Zorg en Welzijn Den Haag;N;508;REGIO 31;;;100X759;2493WN;34;;Mbo1 opleidingen;A6;Dublinweg;62.0;A;;;;2546XK;DELFGAUW;202301
27GZ;ROC Mondriaan;202301;318299837;Creque;;Daimy Melody;'S-GRAVENHAGE;15-12-2004;25554;Mbo- Verpleegkunde;BOL;;J;;27GZ;ROC Mondriaan;100A172;School voor Bouw en Infra;N;1694;REGIO 28;;;100X746;2593AN;4;;Mbo4 opleidingen;1;Parklaan;70.0;;;;;2515GD;'S-GRAVENHAGE;202301
27GZ;ROC Mondriaan;202301;327439420;Polat;;Nicole Jane;OUDER-AMSTEL;19-01-2002;23329;Sociaal-cultureel werker;;;J;;27GZ;ROC Mondriaan;100A184;International Hotel and Management School;N;588;REGIO 29;;;100X754;2521DB;9;;Mbo4 opleidingen;7;Ochtenstraat;118.0;;;;;2516TS;Nootdorp;202301
27GZ;ROC Mondriaan;202301;356683937;Beerenfenger;;Esmée Joan;IJSSELSTEIN;26-04-2003;25223;Business Administration & Control Specialist;BOL;;J;;27GZ;ROC Mondriaan;101A783;School voor Economie en Juridische beroepen;N;1772;REGIO 28;;;100X756;2595GA;69;;HAVO/VWO bovenbouw;A1;Rietgors;;;;;;2286PS;VOORSCHOTEN;202301
27GZ;ROC Mondriaan;202301;882693733;Bayram;;Delano Luca;'S-GRAVENHAGE;21-08-2004;25280;Mbo- Verpleegkunde;BOL;;J;;27GZ;ROC Mondriaan;100A186;School voor Bouw en Infra;N;504;REGIO 28;;;100X755;2612CA;46;;Mbo3 opleidingen;2;Romeijnstraat;154.0;;;;;2591SL;'s-Gravenhage;202301
27GZ;ROC Mondriaan;202301;787140725;Kovalov;;Ismahane;'S-GRAVENHAGE;05-07-2003;25360;Software developer;BBL;;J;;27GZ;ROC Mondriaan;100A174;School voor Zorg en Welzijn Delft;N;556;REGIO 28;;;100X747;2493WN;6;;Mbo4 opleidingen;1;H Kuipers-Rietbergpad;15.0;;;;;2614AK;'S-GRAVENHAGE;202301
27GZ;ROC Mondriaan;202301;951494194;Narci;;Nour;'S-GRAVENHAGE;15-02-2005;6099;Assistant Business Services;BOL;;J;;27GZ;ROC Mondriaan;100A187;International Hotel and Management School;N;1780;REGIO 26;;;100X753;2595GA;7;;Mbo4 opleidingen;2;Aletta Jacobsstraat;11.0;;;61;;2552MD;NAALDWIJK;202301
27GZ;ROC Mondriaan;202301;796346768;Buntin;;Indi Doe António;'S-GRAVENHAGE;05-02-2001;25237;Helpende Zorg en Welzijn;BOL;;J;;27GZ;ROC Mondriaan;100A190;School voor Gezondheidszorg Den Haag;N;589;REGIO 28;;;100X756;2595GA;6;;Mbo4 opleidingen;1;Repelaerstraat;17.0;;;;;2516WJ;'s-Gravenhage;202301
27GZ;ROC Mondriaan;202301;885904405;Hamidi;;Beyza;LEIDSCHENDAM-VOORBURG;19-11-2004;25334;Eerste monteur woning;BOL;;J;;27GZ;ROC Mondriaan;100A172;School voor Zorg en Welzijn Den Haag;N;493;REGIO 28;;;100X755;2493WN;6;;Mbo3 opleidingen;1;Goeverneurlaan;15.0;;;;;2719CB;'S-GRAVENHAGE;202301
27GZ;ROC Mondriaan;202301;730288429;Peñafiel Olaya;;Zulal;GOUDA;12-10-2003;25197;Aankomend medewerker grondoptreden;BBL;;J;;27GZ;ROC Mondriaan;100A187;School voor Orde & Veiligheid;N;512;REGIO 28;;;100X758;2612CA;8;;Mbo2 opleidingen;1;Valkenboslaan;65.0;A;;;;2541VC;Voorschoten;202301
27GZ;ROC Mondriaan;202301;185423691;Yilmaz;;Xue Jing;'S-GRAVENHAGE;27-04-2000;25218;Retailmanager;BBL;;J;;27GZ;ROC Mondriaan;100A179;School voor Zorg en Welzijn Delft;N;504;REGIO 28;;;100X758;2544ED;6;;Mbo4 opleidingen;2;Sluiswachterstraat;114.0;;;;;2565TG;HELLEVOETSLUIS;202301
27GZ;ROC Mondriaan;202301;407589356;Suijker;;Otto;'S-GRAVENHAGE;11-12-2004;5920;Verzorgende-IG;BOL;;J;;27GZ;ROC Mondriaan;100A174;School voor ICT;N;496;REGIO 28;;;100X746;2595GA;6;;Mbo4 opleidingen;1;Appelstraat;130.0;;;;;2492KC;ZOETERMEER;202301
27GZ;ROC Mondriaan;202301;264152431;Roos;;Ilayda;BEVERWIJK;20-06-2003;25231;Medewerker marketing en communicatie;BOL;;J;;27GZ;ROC Mondriaan;100A178;Beauty, Hair & Fashion;N;588;REGIO 26;;;100X753;2512ER;18;;Mbo3 opleidingen;A1;Wingerd;106.0;A;;;;2515NV;RIJSWIJK ZH;202301
