#BURGERSERVICENUMMER;ONDERWIJSNUMMER;GEBOORTEDATUM;GESLACHT;ACHTERNAAM;VOORVOEGSEL;VOORNAMEN;POSTCODE_CIJFERS;RMC_REGIO;RMC_REGIO_NAAM;GEMCODE;GEMEENTENAAM;BRIN;BRIN_VOLGNR;BRIN_VEST_NAAM;NIVEAU;ONDERWIJSSOORT;CREBO;CREBO_OMSCHRIJVING;ONDERWIJSAANBIEDER_CODE;ONDERWIJSAANBIEDER_NAAM;ONDERWIJSLOCATIE_CODE;ONDERWIJSLOCATIE_STRAATNAAM;ONDERWIJSLOCATIE_HUISNUMMER;ONDERWIJSLOCATIE_HUISNUMMER_TOEVOEGING;ONDERWIJSLOCATIE_POSTCODE;ONDERWIJSLOCATIE_PLAATSNAAM
792104563;792104563;12-01-2006;M;Hadid;El;Oumayya;3137;REGIO 26;;615;VLISSINGEN;27GZ;27GZ;;Mbo4 opleidingen;BBL;25258;Entree;100A189;School voor Technologie en Engineering;;Overrijn;49.0;;3137BV;MAASDIJK
461311605;461311605;07-09-2005;M;Krook;;Loubna;2263;REGIO 28;;1724;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25339;Manager retail;100A176;School voor Bouw en Infra;;Meervalsingel;20.0;;2263EM;CAPELLE AAN DEN IJSSEL
259821174;259821174;01-04-2004;M;Sarikaya;van;Gijs Marcus;2571;REGIO 26;;498;LANSINGERLAND;27GZ;27GZ;;Mbo4 opleidingen;BBL;25374;Office & Management Support Specialist;100A189;School voor Pedagogische en Sociale beroepen;;Wesselsstraat;21.0;;2571EJ;VOORHOUT
248090237;248090237;02-06-2006;M;Esch;van;Wassim;2516;REGIO 28;;1776;'S-GRAVENHAGE;27GZ;27GZ;;Mbo3 opleidingen;BOL;25661;Salonmanager;100A174;School voor Toerisme en Recreatie;;Tahiti;119.0;;2516GJ;'S-GRAVENHAGE
926125695;926125695;29-04-2002;M;Sarikaya;;Lisa Desirée;2571;REGIO 28;;1691;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25745;Servicemedewerker gebouwen;101A729;International Hotel and Management School;;Charlotte Jacobslaan;130.0;;2571WE;KATWIJK ZH
398691970;398691970;12-07-2002;V;Koçaağa;;Sem David;2526;REGIO 28;;492;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25297;Business Administration & Control Specialist;101A729;VAVO Haaglanden;;Lijsterbesstraat;24.0;;2526LS;'S-GRAVENHAGE
951914118;951914118;24-03-2001;V;Yilmaz;;Keano;2545;REGIO 28;;504;MIDDEN-DELFLAND;27GZ;27GZ;;Mbo2 opleidingen;BBL;25630;Medewerker sport en recreatie;100A189;International Hotel and Management School;;Lunterenstraat;167.0;;2545NE;WASSENAAR
675909256;675909256;13-02-2005;V;Hoogenkamp;;Gibrail;2572;REGIO 28;;1664;'S-GRAVENHAGE;27GZ;27GZ;;HAVO/VWO bovenbouw;BOL;25676;Gespecialiseerd kok;100A176;VAVO Haaglanden;;Boomaweg;56.0;;2572NJ;'S-GRAVENHAGE
196939403;196939403;04-04-2002;V;Stoep;;Bahae Din;2492;REGIO 28;;1774;ALPHEN AAN DEN RIJN;27GZ;27GZ;;Mbo2 opleidingen;BOL;25638;instructeur mbo;100A187;School voor Autotechniek en Mobiliteit;;Butskop;43.0;;2492WV;
166596237;166596237;03-07-2004;V;Pieterse;;Fatum;2851;REGIO 28;;489;WESTLAND;27GZ;27GZ;;Mbo4 opleidingen;BOL;23271;Assistent dienstverlening en zorg;100A181;School voor Zorg en Welzijn Leiden;;Sophiastraat;231.0;;2851TK;
256446095;256446095;27-05-2002;M;Keijzer;do;František Luka;2261;REGIO 28;;596;DELFT;27GZ;27GZ;;Mbo4 opleidingen;;25582;Business Administration & Control Specialist;100A195;Beauty, Hair & Fashion;;Gravinnendreef;15.0;;2261DZ;ROTTERDAM
899780241;899780241;01-11-2004;V;Aydin;;Sana;2716;REGIO 28;;492;ZOETERMEER;27GZ;27GZ;;Mbo4 opleidingen;BOL;25280;Coördinator sport- en bewegingsagogie;100A175;VAVO Haaglanden;;Teniersplantsoen;125.0;;2716LD;KATWIJK ZH
687509139;687509139;28-10-2003;M;Wallaard;;Pusat Talha;2523;REGIO 28;;1847;WASSENAAR;27GZ;27GZ;;Mbo3 opleidingen;BBL;25237;Zelfstandig werkend kok;100A179;School voor Zorg en Welzijn Den Haag;;Laan op Zuid;18.0;;2523XS;Leidschendam
515640980;515640980;05-11-2003;V;Otter;van;Lisa-Marie;2252;REGIO 27;;611;WADDINXVEEN;27GZ;27GZ;;Mbo4 opleidingen;BBL;25248;Kapper;100A175;School voor Bouw en Infra;;Loosduinseweg;904.0;;2252CG;ALMERE
846433941;846433941;07-11-2003;M;Uittenbogaard;;Senna;2622;REGIO 29;;1811;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;;25185;Monteur mechatronica;100A184;School voor Zorg en Welzijn Den Haag;;Lauwers;163.0;;2622KG;BLEISWIJK
413896340;413896340;02-12-2000;M;Slilem;;Lenny;2614;REGIO 28;;495;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;6485;Verzorgende-IG;100A198;School voor Business support;;Delfgauwseweg;13.0;;2614SJ;DE LIER
662965911;662965911;14-04-2002;V;Velzen;van;Tushar Quinton Jityã;2225;REGIO 26;;1726;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BBL;25193;Medewerker secretariaat en receptie;100A192;School voor Zorg en Welzijn Leiden;;Hoylede;108.0;;2225JT;NAALDWIJK
420449944;420449944;18-04-2001;V;Prins;;Lesra Bartolomé Donald;2693;REGIO 28;;502;'S-GRAVENHAGE;27GZ;27GZ;;Mbo3 opleidingen;BOL;25395;Manager/ondernemer horeca;100A175;School voor Orde & Veiligheid;;Van Ostadestraat;136.0;;2693CA;DE LIER
102960793;102960793;14-01-2005;M;Bandek;van;Simone Gyöngyi;2722;REGIO 26;;1750;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25224;Bedrijfsadministrateur;101A729;VAVO Haaglanden;;Mariastraat;24.0;;2722TE;RIJSWIJK ZH
675057311;675057311;10-04-2005;M;Bom;van;Joukje Marianne Natasja Darinka;2716;REGIO 28;;1682;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25647;Vavo Atheneum Nieuw Profiel Natuur en Gezondheid;100A174;International Hotel and Management School;;Nieuwe Molstraat;382.0;;2716HW;'S-GRAVENHAGE
527240866;527240866;16-07-2004;V;Sukhai;;Abdulai Gibril;2524;REGIO 28;;549;'S-GRAVENHAGE;27GZ;27GZ;;Mbo3 opleidingen;BOL;25613;Haarverzorging;100A177;School voor Zorg en Welzijn Westland;;Draaistraat;18.0;;2524PX;RIJSWIJK ZH
340364966;340364966;06-07-2005;M;Groen;;Ruben Stefan;2721;REGIO 28;;504;WESTLAND;27GZ;27GZ;;Mbo4 opleidingen;BBL;25327;Eerste monteur elektrotechnische industriële installaties en systemen;100A177;International Hotel and Management School;;Arendlaan;20.0;;2721HP;'S-GRAVENHAGE
359796393;359796393;29-01-2003;V;Rijn;de;Melanie Hendrina;2582;REGIO 28;;502;'S-GRAVENHAGE;27GZ;27GZ;;Mbo3 opleidingen;BOL;25321;Aankomend medewerker grondoptreden;100A179;School voor Bouw en Infra;;Leeuwerik;220.0;;2582JG;DELFT
258215595;258215595;21-01-2004;M;Grijzen;;Lara;2515;REGIO 28;;470;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25249;Allround technicus voertuigen en mobiele werktuigen;100A179;School voor Maatschappelijke zorg en Verzorgende;;;170.0;;2515SN;'S-GRAVENHAGE
831852204;831852204;10-08-2003;V;Smit;ter;Ahmet;2645;REGIO 28;;509;WESTLAND;27GZ;27GZ;;Mbo4 opleidingen;;6628;Basismedewerker fashion;100A182;International Hotel and Management School;;Haagweg;370.0;;2645KS;ROTTERDAM
203853486;203853486;25-02-2004;V;Brauers;;Esmee Caroline Johanna;2665;REGIO 28;;582;'S-GRAVENHAGE;27GZ;27GZ;;HAVO/VWO bovenbouw;BOL;25604;Pedagogisch medewerker kinderopvang;101A729;VAVO Haaglanden;;Gasthuislaan;20.0;;2665DJ;NAALDWIJK
261361328;261361328;20-02-2006;M;Gharmaoui;ter;Rümeysa;2525;REGIO 31;;511;CAPELLE AAN DEN IJSSEL;27GZ;27GZ;;VMBO bovenbouw;BBL;25237;Aankomend medewerker grondoptreden;100A175;School voor Technologie en Engineering;;Amandelstraat;137.0;;2525WX;HOEK VAN HOLLAND
661622450;661622450;23-08-2005;V;Kara;van;Şeydanur;2531;REGIO 28;;1753;MIDDEN-DELFLAND;27GZ;27GZ;;HAVO/VWO bovenbouw;BOL;25332;Medewerker human resource management (HRM);100A188;School voor Metaal-, Elektro- en installatietechniek;;Laan van Meerdervoort;20.0;;2531AN;KATWIJK ZH
797576883;797576883;02-03-2001;M;Harpal;;Jayden;2512;REGIO 21;;487;'S-GRAVENHAGE;27GZ;27GZ;;Mbo3 opleidingen;BOL;25717;Legal, Insurance & HR Services Specialist;100A191;School voor Maatschappelijke zorg en Verzorgende;;De Gaarde;11.0;;2512AC;KATWIJK ZH
912199350;912199350;10-04-2003;M;Adiam Kubrom Bizen;;Rick;2685;REGIO 28;;489;'S-GRAVENHAGE;27GZ;27GZ;;Mbo3 opleidingen;BOL;25248;Musicalperformer;100A172;School voor Metaal-, Elektro- en installatietechniek;;Hertenrade;107.0;;2685RL;LEIDEN
790826679;790826679;31-08-2004;M;Velden;;Salma;2582;REGIO 28;;538;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25633;Manager/ondernemer horeca;100A196;School voor Maatschappelijke zorg en Verzorgende;;Escamplaan;26.0;;2582HX;ZOETERMEER
152473272;152473272;21-01-2004;V;Leerdam;;Romy Priscilla;2729;REGIO 28;;575;RIJSWIJK;27GZ;27GZ;;Mbo4 opleidingen;BOL;25727;Business Administration & Control Specialist;100A176;School voor Zorg en Welzijn Westland;;Strijplaan;54.0;;2729GV;ROTTERDAM
588058294;588058294;21-06-2006;M;Tuzlacik;;Iris;2541;REGIO 22;;601;'S-GRAVENHAGE;27GZ;27GZ;;Mbo3 opleidingen;EX;25219;Monteur mechatronica;100A179;School voor Orde & Veiligheid;;Maurickerf;589.0;;2541GM;'S-GRAVENZANDE
456789689;456789689;09-12-2003;V;Vriens;;Merima;2685;REGIO 28;;1797;ZANDVOORT;27GZ;27GZ;;Mbo3 opleidingen;BOL;25198;Middenkaderfunctionaris Bouw;100A179;School voor Bouw en Infra;;Van Bleyswijckstraat;423.0;;2685RK;DE LIER
116985531;116985531;04-08-2003;M;Kuijvenhoven;van;Nasreddine;2515;REGIO 28;;1729;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25236;Basis technicus voertuigen en mobiele werktuigen;100A172;School voor Retail en Logistiek Delft;;Waterloostraat;18.0;;2515JK;ROELOFARENDSVEEN
656346812;656346812;28-03-2005;V;Sahebdien;;Furkan;2717;REGIO 26;;1706;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25364;Helpende Zorg en Welzijn;100A188;School voor Business support;;Zonnehof;117.0;;2717AS;GOUDA
330501820;330501820;09-05-2001;M;Verhagen;;Abdulai Gibril;2571;REGIO 28;;1724;'S-GRAVENHAGE;27GZ;27GZ;;Mbo2 opleidingen;BOL;25661;Doktersassistent;100A184;School voor Business support;;Alferbos;20.0;;2571RA;VOORBURG
687902398;687902398;30-06-2004;V;Lochem;van;Jurian Ruben Floyd;2521;REGIO 28;;1739;DELFT;27GZ;27GZ;;Mbo4 opleidingen;;25290;Financieel administratieve beroepen;100A187;School voor ICT;;Van der Havelaan;27.0;;2521ZL;'S-GRAVENHAGE
856166077;856166077;20-10-2004;M;Meer;;Bilal;2685;REGIO 28;;1703;'S-GRAVENHAGE;27GZ;27GZ;;Mbo2 opleidingen;BOL;25723;Pedagogisch medewerker kinderopvang;101A729;School voor Retail en Logistiek Delft;;Kouterstraat;25.0;;2685XN;KATWIJK ZH
143986365;143986365;10-04-2004;M;Rosiek;;Stefan Ricardo;2311;REGIO 28;;1638;'S-GRAVENHAGE;27GZ;27GZ;;Mbo3 opleidingen;BOL;25753;Aankomend onderofficier grondoptreden;100A174;School voor Zorg en Welzijn Leiden;;Poptahof Noord;19.0;;2311XS;KATWIJK ZH
286527170;286527170;03-07-2002;M;Burger;;Lola Maggie Mirembe;2641;REGIO 11;;552;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25299;Onderwijsassistent;100A177;School voor Metaal-, Elektro- en installatietechniek;;Hof van Wieligh;299.0;;2641AT;MAASDIJK
781782725;781782725;10-12-2002;M;Graaff;;Ahmed;3151;REGIO 28;;489;LEIDSCHENDAM-VOORBURG;27GZ;27GZ;;Mbo4 opleidingen;BOL;25088;Sociaal werker;100A172;School voor Bouw en Infra;;Tempelberg;28.0;;3151GN;'S-GRAVENHAGE
914853574;914853574;24-11-1999;M;Lems;;Manon;2681;REGIO 28;;1554;NOORDWIJK;27GZ;27GZ;;Mbo3 opleidingen;BOL;25732;Timmerman;101A729;School voor Zorg en Welzijn Leiden;;Staringkade;121.0;;2681HP;'S-GRAVENHAGE
950832841;950832841;30-09-2005;V;Haddaoui;;Jeannick Derek Alexander;2583;REGIO 29;;567;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25661;Allround medewerker mode/maatkleding;100A175;School voor Economie en Juridische beroepen;;Overrijn;117.0;;2583MR;'S-GRAVENHAGE
878087881;878087881;22-02-2005;V;Lukassen;;Sara;2632;REGIO 28;;566;'S-GRAVENHAGE;27GZ;27GZ;;Mbo2 opleidingen;BOL;25705;Manager/ondernemer horeca;100A172;Beauty, Hair & Fashion;;Lofoten;112.0;;2632AC;KATWIJK ZH
236949194;236949194;18-05-2004;V;Geurts;;Xhadhyaene Touche Benigna;2292;REGIO 28;;551;'S-GRAVENHAGE;27GZ;27GZ;;Mbo3 opleidingen;BOL;25305;Persoonlijk begeleider gehandicaptenzorg;100A191;School voor Zorg en Welzijn Leiden;;Torenvalklaan;134.0;;2292AJ;'S-GRAVENHAGE
473927371;473927371;15-03-2001;M;Ofwegen;;Nada;2548;REGIO 28;;481;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25149;Sport- en bewegingsleider;101A729;School voor Metaal-, Elektro- en installatietechniek;;Windlusthof;40.0;;2548WN;'S-GRAVENHAGE
208965323;208965323;28-09-2004;V;Sbaa;;Maud;3143;REGIO 28;;489;LISSE;27GZ;27GZ;;Mbo2 opleidingen;BOL;25688;Onderwijsassistent;100A181;School voor ICT;;Hobbemastraat;144.0;;3143BH;GOUDA
933433033;933433033;28-06-2002;V;Benali;;Geethana Jada;2551;REGIO 28;;503;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BBL;25307;Medewerker sport en recreatie;101A783;School voor Zorg en Welzijn Delft;;Bragastraat;119.0;;2551KX;VLAARDINGEN
478678735;478678735;20-07-2004;M;Edrisi;;Emir;2512;REGIO 28;;580;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25203;Sociaal werker;100A172;School voor Zorg en Welzijn Den Haag;;Abraham van Beyerenstr;86.0;;2512PA;'S-GRAVENHAGE
822873808;822873808;29-05-2002;M;Hoogenboom;;Hannah;2573;REGIO 28;;482;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25774;Verzorgende-IG;100A196;School voor Autotechniek en Mobiliteit;;Schaarsbergenstraat;200.0;;2573ZB;'S-GRAVENHAGE
612044495;612044495;15-02-2004;M;Richardson;van de;Shyviana Natalia Rhoshainy;2675;REGIO 34;;604;DELFT;27GZ;27GZ;;Mbo4 opleidingen;EX;25243;Financieel administratief medewerker;100A173;School voor Entreeopleidingen;;Delflandstraat;425.0;;2675TC;Zoetermeer
182488785;182488785;25-06-2003;V;Hiep;El;Johan Arend Christianus;2544;REGIO 28;;1317;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25320;Sociaal werker;100A177;School voor Retail en Logistiek Delft;;Blériotlaan;312.0;;2544KK;'S-GRAVENHAGE
606637780;606637780;03-03-2003;M;Rashid;;Aryan Karan;2544;REGIO 29;;608;HILLEGOM;27GZ;27GZ;;Mbo4 opleidingen;BBL;25321;Vavo Atheneum Zonder Profiel;100A190;School voor ICT;;Verdilaan;17.0;;2544HD;MAASSLUIS
774541014;774541014;06-04-2003;M;Berg;;Robine;2516;REGIO 28;;1763;'S-GRAVENHAGE;27GZ;27GZ;;Mbo3 opleidingen;BOL;25277;Logistiek supervisor;100A179;School voor Autotechniek en Mobiliteit;;Romeijnstraat;79.0;;2516GX;ZOETERMEER
265195225;265195225;17-07-2001;V;Nas;van;Joshua Miguel;3203;REGIO 29;;506;'S-GRAVENHAGE;27GZ;27GZ;;Mbo3 opleidingen;BOL;23237;Allround Kapper;101A783;School voor Lifestyle, Sport en Bewegen;;Steenzicht;215.0;;3203XL;Naaldwijk
920030938;920030938;20-01-2000;M;Someren;;Adnan;2572;REGIO 26;;495;'S-GRAVENHAGE;27GZ;27GZ;;Mbo3 opleidingen;BBL;25667;Doktersassistent;100A187;School voor Entreeopleidingen;;Torenvalklaan;23.0;;2572RN;UDDEL
735383259;735383259;21-10-2000;V;Ateş;de;Siwar;3011;REGIO 28;;1792;VLAARDINGEN;27GZ;27GZ;;VMBO bovenbouw;BBL;25200;Basis technicus voertuigen en mobiele werktuigen;100A175;VAVO Haaglanden;;Dr. Kuyperlaan;387.0;;3011HN;VOORHOUT
223350492;223350492;30-09-2000;M;Kloet;;Anne;2292;REGIO 28;;572;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25660;Vavo Havo Zonder Profiel;101A729;International Hotel and Management School;;Erasmusplein;125.0;;2292BD;'S-GRAVENHAGE
946015966;946015966;30-06-2004;M;Farahi;;Jeffry;2492;REGIO 28;;1713;'S-GRAVENHAGE;27GZ;27GZ;;Mbo2 opleidingen;BBL;6486;Gastheer/-vrouw;100A196;School voor Gezondheidszorg Den Haag;;Strijplaan;26.0;;2492LB;'S-GRAVENHAGE
837816031;837816031;11-07-2004;M;Bruins;de;Eva Caroline Amanda Jennifer;2625;REGIO 28;;586;APELDOORN;27GZ;27GZ;;Mbo4 opleidingen;BOL;25638;Technicus elektrotechnische installaties in de gebouwde omgeving;100A191;School voor Zorg en Welzijn Den Haag;;Beetsstraat;24.0;;2625NA;'S-GRAVENHAGE
962268896;962268896;13-10-2005;V;Bekkers;;Lars;2548;REGIO 28;;575;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25254;Schoonheidsverzorging;101A783;School voor Economie en Juridische beroepen;;De Gaarde;16.0;;2548WJ;DELFT
279318241;279318241;22-04-2000;V;Buntin;;Semir Dimitri;2548;REGIO 28;;513;BRIELLE;27GZ;27GZ;;Mbo4 opleidingen;;25254;Vavo Atheneum Nieuw Profiel Natuur en Gezondheid;100A191;School voor Retail en Logistiek Delft;;Johan de Meesterstraat;110.0;;2548JA;Bergschenhoek
887426786;887426786;15-02-2006;M;Oosten;;Jim;2242;REGIO 28;;493;WESTLAND;27GZ;27GZ;;Mbo4 opleidingen;BOL;25650;Office & Management Support Specialist;101A729;School voor Retail en Logistiek Delft;;Scholstraat;20.0;;2242TS;ZOETERMEER
390500069;390500069;23-07-2003;V;Vijverberg;Ben;Anna-Sophie Kimberley Iris;2172;REGIO 29;;1835;LELYSTAD;27GZ;27GZ;;Mbo3 opleidingen;BBL;25563;Mbo- Verpleegkunde;100A182;School voor Metaal-, Elektro- en installatietechniek;;Piersonstraat;384.0;;2172HE;ZOETERMEER
342429413;342429413;23-07-2005;M;Niet;;Jaycee;2587;REGIO 40;;514;ZOETERMEER;27GZ;27GZ;;Mbo2 opleidingen;BOL;25274;Autospuiter;100A192;School voor Gezondheidszorg Den Haag;;Grietpolderstraat;290.0;;2587EM;'s-Gravenhage
366841576;366841576;22-05-2004;M;Santos Lopes;El;Hilary;2552;REGIO 27;;489;LEIDEN;27GZ;27GZ;;Mbo2 opleidingen;BOL;25262;Vavo Havo voorexamenklas;100A177;School voor Metaal-, Elektro- en installatietechniek;;Bij de Westermolens;29.0;;2552MT;DELFGAUW
859049706;859049706;22-09-2003;V;Jharap;;Susan;2719;REGIO 28;;474;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25564;Pedagogisch medewerker kinderopvang;100A180;School voor Maatschappelijke zorg en Verzorgende;;;36.0;;2719HM;'S-GRAVENHAGE
644321004;644321004;12-02-2004;V;Cheikh Dabas;de;Jericelle Chelnaira;2564;REGIO 26;;587;'S-GRAVENHAGE;27GZ;27GZ;;HAVO/VWO bovenbouw;BOL;25236;Helpende Zorg en Welzijn;100A190;School voor Horeca & Facilitaire dienstverlening;;Kopenhagenweg;24.0;;2564RG;'S-GRAVENHAGE
706318062;706318062;16-05-2004;M;Grata;;Mitchell;2525;REGIO 28;;538;WESTLAND;27GZ;27GZ;;Mbo4 opleidingen;BOL;25406;Persoonlijk begeleider maatschappelijke zorg;101A729;School voor Gezondheidszorg Den Haag;;Tempelberg;20.0;;2525NN;DELFT
746622703;746622703;12-01-2006;M;Koeks;El;Attila Adigüzel;2283;REGIO 28;;1736;WASSENAAR;27GZ;27GZ;;Mbo4 opleidingen;BOL;25733;Gespecialiseerd pedagogisch medewerker;100A188;School voor Bouw en Infra;;Puttensestraat;17.0;;2283LA;
690884339;690884339;09-12-2003;M;Peñafiel Olaya;;Hamza;3119;REGIO 28;;488;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25738;Assistant Business Services;100A182;School voor Gezondheidszorg Den Haag;;Louis Armstrongkade;160.0;;3119VB;'S-GRAVENHAGE
809733877;809733877;14-01-2005;M;Uittenbogaard;;Angela Maria;2678;REGIO 27;;614;GOUDA;27GZ;27GZ;;Mbo3 opleidingen;BOL;25686;Vavo Atheneum Zonder Profiel;100A174;School voor Horeca & Facilitaire dienstverlening;;Parklaan;25.0;;2678TN;GOUDA
726798069;726798069;21-06-2006;M;Farahi;;Keshav Varun;2522;REGIO 28;;587;ROTTERDAM;27GZ;27GZ;;Mbo4 opleidingen;BOL;25661;Monteur elektrotechnische installaties;100A187;School voor Metaal-, Elektro- en installatietechniek;;Merelweg;28.0;;2522JK;BLEISWIJK
633704183;633704183;03-07-2002;M;Hoen;;Fatum;2678;REGIO 28;;1689;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25121;Leidinggevende team/afdeling/project;100A172;International Hotel and Management School;;Marktweg;26.0;;2678XH;'S-GRAVENHAGE
841125624;841125624;06-05-2006;M;Kneppers;;Laura;2574;REGIO 28;;491;KRIMPENERWAARD;27GZ;27GZ;;Mbo2 opleidingen;BOL;25311;Leidinggevende team/afdeling/project;100A181;School voor Zorg en Welzijn Delft;;Joubertplantsoen;31.0;;2574GT;'S-GRAVENHAGE
238784249;238784249;19-05-2003;V;Challah;;Sharwan Rasesh;3202;REGIO 28;;1538;DELFT;27GZ;27GZ;;Mbo4 opleidingen;BOL;25314;Manager/ondernemer horeca;100A189;School voor Orde & Veiligheid;;Romeijnstraat;53.0;;3202EH;ZOETERMEER
446893820;446893820;31-12-2002;M;Smink;van der;Damian Fredericus Adrianus;2911;REGIO 29;;1780;LEIDSCHENDAM-VOORBURG;27GZ;27GZ;;Mbo4 opleidingen;BOL;25355;Helpende Zorg en Welzijn;100A192;School voor Gezondheidszorg Den Haag;;Noordhil;371.0;;2911JA;MAASLAND
139464444;139464444;16-07-2000;V;Boztaş;El;Damian Sharano Karan;2564;REGIO 27;;1797;ZWOLLE;27GZ;27GZ;;Mbo3 opleidingen;BBL;25599;Juridisch-administratief dienstverlener;100A178;School voor Economie en Juridische beroepen;;Korenbloemweg;108.0;;2564KJ;WARMOND
582913789;582913789;13-09-2003;M;Zygmunt;de;Faruk Diyar;2287;REGIO 28;;496;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BBL;25268;Manager/ondernemer horeca;100A188;School voor Technologie en Engineering;;Koningsvaren;230.0;;2287TJ;SASSENHEIM
583012095;583012095;22-01-2003;M;Marrouni;El;Mustafa;2521;REGIO 28;;1763;OEGSTGEEST;27GZ;27GZ;;Mbo4 opleidingen;BBL;25735;Begeleider specifieke doelgroepen;100A191;School voor Horeca & Facilitaire dienstverlening;;Leyweg;23.0;;2521XW;MONSTER
111447807;111447807;07-12-2005;M;Amatkario;;Dani;2622;REGIO 28;;496;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25343;Mbo- Verpleegkunde;101A729;Beauty, Hair & Fashion;;Karel Doormanstraat;423.0;;2622PA;'S-GRAVENHAGE
562401023;562401023;06-09-2004;V;Albrnwuti;;Romaissa;2713;REGIO 28;;1705;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25535;Fashion Retailer;100A181;School voor Bouw en Infra;;Hofzicht;27.0;;2713RN;'S-GRAVENHAGE
338169603;338169603;18-05-2004;M;Vellinga;;Anouk Martina;2542;REGIO 28;;512;GOES;27GZ;27GZ;;Mbo3 opleidingen;BOL;25723;Apothekersassistent;100A184;School voor Retail en Logistiek Delft;;Prins Frederiklaan;857.0;;2542AD;WASKEMEER
219188996;219188996;01-01-2005;M;Azihriu;;Nick;2497;REGIO 28;;487;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25166;Helpende Zorg en Welzijn;100A188;International Hotel and Management School;;Chopinstraat;;;2497BA;'s-Gravenhage
596381451;596381451;04-06-2003;V;Burg;;Alain Nicolaas;2685;REGIO 28;;1693;WASSENAAR;27GZ;27GZ;;Mbo4 opleidingen;BOL;25209;Schoonheidsverzorging;100A187;School voor Zorg en Welzijn Westland;;Spoorsingel;26.0;;2685RX;'S-GRAVENHAGE
932450062;932450062;10-06-2000;M;Moradi Ghahdrijani;;Yshana Ashley Radjinie;2671;REGIO 28;;499;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25233;Assistant Fashion Tailor;100A172;School voor Bouw en Infra;;Roemer Visscherstraat;;;2671WN;NAALDWIJK
957845263;957845263;01-10-2003;V;Uwimana;;Faye Fu;2532;REGIO 28;;483;ZOETERMEER;27GZ;27GZ;;Mbo4 opleidingen;BOL;25231;Management assistant;100A192;School voor Autotechniek en Mobiliteit;;Schoutendreef;151.0;;2532CJ;WATERINGEN
188288784;188288784;25-04-2003;M;Yildiz;;Sanne;2291;REGIO 28;;477;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25453;Mbo- Verpleegkunde;100A178;School voor Entreeopleidingen;;Petronella Voûtestraat;23.0;;2291ZR;'S-GRAVENHAGE
119770894;119770894;05-08-2000;M;Pronk;;Leen;2521;REGIO 28;;1721;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BBL;25340;Leidinggevende bediening;101A729;School voor Zorg en Welzijn Leiden;;Isaäc da Costalaan;27.0;;2521RS;DELFT
870780691;870780691;09-10-2004;V;Hoogerheide;;Lenny;2515;REGIO 28;;1713;ROTTERDAM;27GZ;27GZ;;Mbo3 opleidingen;BOL;25420;Assistent metaal-, elektro- en installatietechniek;100A186;School voor Business support;;Huijgenslaan;8.0;;2515KP;ZOETERMEER
