#BURGERSERVICENUMMER;ONDERWIJSNUMMER;GEBOORTEDATUM;GESLACHT;ACHTERNAAM;VOORVOEGSEL;VOORNAMEN;POSTCODE_CIJFERS;RMC_REGIO;RMC_REGIO_NAAM;GEMCODE;GEMEENTENAAM;BRIN;BRIN_VOLGNR;BRIN_VEST_NAAM;NIVEAU;ONDERWIJSSOORT;CREBO;CREBO_OMSCHRIJVING;EXAMEN;IND_BEKOSTIGING;ONDERWIJSAANBIEDER_CODE;ONDERWIJSAANBIEDER_NAAM;ONDERWIJSLOCATIE_CODE;ONDERWIJSLOCATIE_STRAATNAAM;ONDERWIJSLOCATIE_HUISNUMMER;ONDERWIJSLOCATIE_HUISNUMMER_TOEVOEGING;ONDERWIJSLOCATIE_POSTCODE;ONDERWIJSLOCATIE_PLAATSNAAM
533336449;533336449;18-08-2004;M;Malik;;Djordy Joey;2512;REGIO 28;;1645;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25414;Manager/ondernemer horeca;;;100A189;International Hotel and Management School;;Strijplaan;12.0;;2512TA;'S-GRAVENHAGE
814480369;814480369;06-09-2005;M;Toet;;Elise;2512;REGIO 28;;1658;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25623;Helpende Zorg en Welzijn;;;100A180;VAVO Haaglanden;;Fagelstraat;348.0;;2512AJ;VOORBURG
595873020;595873020;16-08-2005;M;Bruin;;Amirah Brenda;2675;REGIO 28;;493;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25554;(Junior) accountmanager;;;100A190;School voor Autotechniek en Mobiliteit;;Salviahof;21.0;;2675CM;ZOETERMEER
151478969;151478969;26-04-2005;M;Dille;;Fleur Madelon;2678;REGIO 28;;589;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25603;Mbo- Verpleegkunde;;;100A190;School voor Bouw en Infra;;Schouwensestraat;12.0;;2678DA;Rotterdam
337887650;337887650;15-12-2002;V;Mbow;;Bastiaan Pieter Ben;2652;REGIO 37;;587;VLAARDINGEN;27GZ;27GZ;;Mbo3 opleidingen;BOL;25611;Persoonlijk begeleider specifieke doelgroepen;;;100A177;School voor Lifestyle, Sport en Bewegen;;Bragastraat;212.0;;2652EN;NIJMEGEN
100489226;100489226;05-11-2003;M;Goede;;Anastasia Priscilla;2521;REGIO 28;;535;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25216;Logistiek medewerker;;;100A184;Beauty, Hair & Fashion;;van Wassenaarstraat;17.0;;2521EJ;'S-GRAVENHAGE
872092847;872092847;21-01-2004;M;Akdemir;;Gabriela;2524;REGIO 28;;495;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25549;Assistent mobiliteitsbranche;;;100A181;Beauty, Hair & Fashion;;Wateringseweg;18.0;;2524KD;'S-GRAVENHAGE
480664013;480664013;29-05-2004;V;Lagadeau;;Suraj Ajaikumar Sunil;2235;REGIO 29;;500;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25286;Expert IT systems and devices;;;100A184;School voor Bouw en Infra;;Joubertplantsoen;57.0;;2235TV;RIJSWIJK ZH
832516673;832516673;10-10-2002;M;Lebaniyah Jedda;;Anna-Sophie Kimberley Iris;2729;REGIO 29;;1735;PIJNACKER-NOOTDORP;27GZ;27GZ;;Mbo2 opleidingen;BOL;25699;Mbo-Verpleegkundige;;;100A191;School voor Business support;;Emmensstraat;211.0;;2729BV;VLAARDINGEN
991594510;991594510;09-04-2005;M;Moerman;;Bryan Jesse;2641;REGIO 28;;1473;WESTLAND;27GZ;27GZ;;Mbo3 opleidingen;BOL;25632;Vavo Atheneum Nieuw Profiel Economie en Maatschappij;;;101A783;School voor Economie en Juridische beroepen;;Seghersstraat;;;2641RX;POELDIJK
299258005;299258005;28-03-2005;M;Kursa;;Ilayda;3131;REGIO 28;;481;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BBL;25300;Medewerker (financiële) administratie;;;101A729;School voor Toerisme en Recreatie;;Zuidwal;23.0;;3131XL;'s-Gravenhage
864294723;864294723;18-02-2004;M;Hamdan;te;Myrthe;2595;REGIO 28;;503;WOERDEN;27GZ;27GZ;;Mbo3 opleidingen;BOL;25258;Onderwijsassistent;;;100A175;School voor Zorg en Welzijn Delft;;Jacob Marisstraat;207.0;;2595WE;VLAARDINGEN
528577466;528577466;07-08-2004;V;Azihriu;de;Jan;2496;REGIO 28;;586;BODEGRAVEN-REEUWIJK;27GZ;27GZ;;Mbo3 opleidingen;BBL;25540;Zelfstandig medewerker travel & Hospitality;;;100A187;International Hotel and Management School;;Weidevogellaan;16.0;;2496HZ;POELDIJK
908551043;908551043;07-02-2005;M;Venema;;Suus Anne;2515;REGIO 28;;566;'S-GRAVENHAGE;27GZ;27GZ;;Mbo2 opleidingen;BBL;25244;Bedrijfsadministrateur;;;100A181;School voor Zorg en Welzijn Westland;;Marktweg;34.0;;2515PX;RIJSWIJK ZH
456581638;456581638;28-06-2005;M;Sebök;;Julian Jacobus;2543;REGIO 28;;482;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25348;Mbo- Verpleegkunde;;;100A181;School voor Gezondheidszorg Den Haag;;Veenzoom;41.0;;2543TC;'S-GRAVENHAGE
440074343;440074343;09-02-2003;M;Jansen;;Mike Jeroen Jacobus;2565;REGIO 28;;573;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25259;Marketing & Communication Specialist;;;100A198;School voor Maatschappelijke zorg en Verzorgende;;Kepplerstraat;159.0;;2565PZ;'S-GRAVENHAGE
814266249;814266249;09-06-2005;V;Pot;van;Vera Rosanne;2565;REGIO 28;;1750;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25714;Software developer;;;100A172;School voor Bouw en Infra;;Vriezenveenstraat;416.0;;2565CC;DELFT
933619602;933619602;23-03-2001;M;Hamouni;;Andrea Mikele;2522;REGIO 18;;1797;ZOETERMEER;27GZ;27GZ;;Mbo3 opleidingen;BOL;25306;Technicus engineering;;;100A187;School voor Zorg en Welzijn Westland;;Hoeksekade;264.0;;2522KH;KOUDEKERK AAN DEN RIJN
796974688;796974688;28-06-2002;M;Meer;;Ahmed;2343;REGIO 28;;1758;ROTTERDAM;27GZ;27GZ;;Mbo4 opleidingen;BOL;25291;Coördinator buurt, onderwijs en sport;;;101A783;School voor Economie en Juridische beroepen;;Fruitweg;49.0;;2343PS;WATERINGEN
208388946;208388946;13-09-2000;V;Ouahhabi;;Amira;2555;REGIO 29;;1748;DELFT;27GZ;27GZ;;Mbo4 opleidingen;BOL;25599;Autospuiter;;;100A196;School voor ICT;;Wateringsestraat;58.0;;2555SX;DELFT
794745258;794745258;26-03-2006;M;Melaku Abebe Bzayene;;Imad;2526;REGIO 28;;1665;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25375;Technicus engineering;;;100A177;School voor Bouw en Infra;;Korte Vleerstraat;124.0;;2526SZ;DELFT
838516029;838516029;09-08-2003;M;Graaff;;Guus Minne Jan;2728;REGIO 28;;485;'S-GRAVENHAGE;27GZ;27GZ;;Mbo3 opleidingen;BOL;25288;Pedagogisch medewerker kinderopvang;;;100A196;Beauty, Hair & Fashion;;;;;2728BA;'S-GRAVENHAGE
297975865;297975865;17-12-2005;V;Overduin;in 't;Isha Atika Noor;2533;REGIO 29;;516;'S-GRAVENHAGE;27GZ;27GZ;;Mbo3 opleidingen;BOL;25268;Beveiliger 3;;;100A191;School voor Economie en Juridische beroepen;;Azaleastraat;48.0;;2533HS;BERKEL EN RODENRIJS
114819864;114819864;04-05-2005;V;Shaltout;;Indi Doe António;2574;REGIO 28;;1714;RIJSWIJK;27GZ;27GZ;;Mbo4 opleidingen;BOL;25300;Gespecialiseerd pedagogisch medewerker;;;100A191;School voor Zorg en Welzijn Den Haag;;Aalbessenlaan;15.0;;2574PJ;'S-GRAVENZANDE
624963098;624963098;15-12-2004;M;Haan;;Ömer;2625;REGIO 29;;573;'S-GRAVENHAGE;27GZ;27GZ;;Mbo2 opleidingen;BBL;25285;Begeleider specifieke doelgroepen;;;100A179;School voor Zorg en Welzijn Leiden;;Hugo Verrieststraat;32.0;;2625VA;'S-GRAVENHAGE
458189245;458189245;28-04-2002;M;Baarle;;Jens Merlijn;2691;REGIO 28;;1739;MAASSLUIS;27GZ;27GZ;;HAVO/VWO bovenbouw;BBL;25323;Persoonlijk begeleider maatschappelijke zorg;;;101A729;School voor Bouw en Infra;;Koningstraat;20.0;;2691VW;'S-GRAVENHAGE
427280187;427280187;23-06-2003;V;Visser;;Djanice Quiera Amira;2271;REGIO 28;;604;HAARLEM;27GZ;27GZ;;Mbo3 opleidingen;BOL;25270;Manager mobiliteitsbranche;;;100A172;School voor Retail en Logistiek Delft;;Gravin Geertruidlaan;814.0;;2271CT;HAZERSWOUDE RIJNDIJK
906003450;906003450;07-02-2004;M;Eeden;;Anna-Sophie;2586;REGIO 28;;160;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25281;Medewerker sport en recreatie;;;100A176;School voor Lifestyle, Sport en Bewegen;;Kerkuillande;119.0;;2586AW;'s-Gravenhage
442992751;442992751;29-03-2002;M;Meer;;Aleksandra;2631;REGIO 26;;1852;CAPELLE AAN DEN IJSSEL;27GZ;27GZ;;Mbo4 opleidingen;;5641;Zelfstandig werkend gastheer/-vrouw;;;100A177;School voor Horeca & Facilitaire dienstverlening;;Koningstraat;125.0;;2631WV;HONSELERSDIJK
730524364;730524364;20-04-2000;M;Boersema;van;Jessy Helen;2625;REGIO 28;;487;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25263;Eerste monteur elektrotechnische installaties woning en utiliteit;;;100A191;International Hotel and Management School;;Grijpestijnhof;46.0;;2625XL;'S-GRAVENHAGE
958073258;958073258;30-05-2005;M;Lecumberre Salas;van;Japhet-Jireh;2571;REGIO 28;;585;'S-GRAVENHAGE;27GZ;27GZ;;Mbo3 opleidingen;BOL;25316;Assistent mobiliteitsbranche;;;101A729;School voor Economie en Juridische beroepen;;Duindoornlaan;861.0;;2571HT;LEIDSCHENDAM
813925553;813925553;09-04-2005;M;Lange;;Iman;2721;REGIO 28;;1656;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25541;Monteur elektrotechnische installaties;;;101A729;School voor Bouw en Infra;;;151.0;;2721BM;'s-Gravenhage
506378136;506378136;23-03-2001;V;Vrede;El;Felicity;2273;REGIO 29;;1616;BREDA;27GZ;27GZ;;Mbo3 opleidingen;BBL;25638;Medewerker evenementenorganisatie;;;100A176;School voor Pedagogische en Sociale beroepen;;Anna Blamanhove;396.0;;2273JZ;BERKEL EN RODENRIJS
754383026;754383026;06-03-2006;M;Bleijenberg;;Rohan Rishikesh Ashton Nylesh;2289;REGIO 28;;498;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25632;Allround medewerker IT systems and devices;;;100A198;School voor Zorg en Welzijn Leiden;;Moerweg;552.0;;2289BV;
932194646;932194646;30-06-2005;M;Bedil;do;Nico;2574;REGIO 25;;608;SOEST;27GZ;27GZ;;HAVO/VWO bovenbouw;;23266;Specialist transport en logistiek;;;100A179;School voor Technologie en Engineering;;Klein Koningshof;106.0;;2574CE;LELYSTAD
316919876;316919876;18-07-2002;M;Fremuz Berhane Tesfagabir;;Tijn Jonathan;2691;REGIO 28;;1710;ZOETERMEER;27GZ;27GZ;;Mbo4 opleidingen;BOL;25346;Leidinggevende international hospitality;;;100A186;School voor Toerisme en Recreatie;;Van Veendijk;15.0;;2691XS;KWINTSHEUL
608607373;608607373;07-10-2004;M;Vreugdenhil;;Noah Eduard Cornelis;2496;REGIO 28;;283;ZOETERMEER;27GZ;27GZ;;HAVO/VWO bovenbouw;;25552;IT systems and devices;;;100A180;School voor Entreeopleidingen;;Marktweg;66.0;;2496NC;VOORBURG
803673966;803673966;24-05-2002;V;Ceylân;;Omar;2396;REGIO 28;;551;LEIDSCHENDAM-VOORBURG;27GZ;27GZ;;Mbo3 opleidingen;BOL;25178;Handhaver toezicht en veiligheid;;;100A177;School voor Zorg en Welzijn Leiden;;Joubertplantsoen;24.0;;2396AN;WATERINGEN
137031033;137031033;27-05-2001;V;Manuela;;Joel Christopher;2562;REGIO 28;;513;ROTTERDAM;27GZ;27GZ;;Mbo4 opleidingen;BOL;25260;Technicus elektrotechnische systemen;;;100A182;School voor Pedagogische en Sociale beroepen;;Elzenlaan;45.0;;2562VS;Voorschoten
266321800;266321800;04-03-2004;V;Veltman;van;Elif Nur;2533;REGIO 28;;1778;WESTLAND;27GZ;27GZ;;Mbo2 opleidingen;BOL;25296;Entree;;;100A184;School voor ICT;;Hartschelpsingel;21.0;;2533AH;PIJNACKER
922533942;922533942;30-05-2000;V;Hartevelt;;Aleyna;2583;REGIO 28;;577;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BBL;25622;Monteur werktuigkundige installaties;;;100A176;School voor Maatschappelijke zorg en Verzorgende;;Zonneoord;15.0;;2583PV;'S-GRAVENHAGE
705817901;705817901;11-10-2005;V;Tuin;van der;Renato Saridjo;;REGIO 26;;591;WOERDEN;27GZ;27GZ;;Mbo3 opleidingen;BBL;25662;Manager mobiliteitsbranche;;;100A184;School voor Economie en Juridische beroepen;;Hasebroekstraat;120.0;;;DELFT
702530328;702530328;27-08-2004;M;Jonge;;Manal;2571;REGIO 28;;543;ZOETERMEER;27GZ;27GZ;;Mbo4 opleidingen;BOL;25346;Onderwijsassistent;;;100A190;School voor Zorg en Welzijn Leiden;;Vaartdreef;32.0;;2571VB;ALPHEN AAN DEN RIJN
203857554;203857554;16-04-2002;M;Koole;ten;Benjamin Salomon;2571;REGIO 27;;1457;RIJSWIJK;27GZ;27GZ;;Mbo4 opleidingen;BOL;25639;Assistant Business Services;;;100A178;School voor Economie en Juridische beroepen;;François Valentijnstraat;21.0;;2571PZ;
693834142;693834142;01-07-2002;M;Linden;;Merve;2672;REGIO 28;;481;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25272;Maatschappelijke Zorg;;;100A186;VAVO Haaglanden;;;20.0;;2672DN;'S-GRAVENHAGE
652188554;652188554;21-05-2003;M;Hout;ten;Amirah Brenda;2555;REGIO 29;;490;DELFT;27GZ;27GZ;;Mbo4 opleidingen;BOL;25713;Eerste Autotechnicus;;;100A189;School voor Metaal-, Elektro- en installatietechniek;;Clavecimbellaan;256.0;;2555SR;NAALDWIJK
558905490;558905490;11-09-2003;V;Schipper;;Chiméne Cornelia Martina;;REGIO 28;;1800;ROTTERDAM;27GZ;27GZ;;VMBO bovenbouw;BOL;25221;Technicus elektrotechnische installaties in de gebouwde omgeving;;;100A173;School voor Economie Delft;;Leidseweg;310.0;;;RIJSWIJK ZH
648784149;648784149;12-03-2002;M;Wolf;;Muhammed Ikbal;2551;REGIO 28;;486;KATWIJK;27GZ;27GZ;;Mbo4 opleidingen;BBL;25533;Verkoopspecialist;;;100A177;School voor Toerisme en Recreatie;;Thorbeckelaan;98.0;;2551VP;Zoetermeer
313000961;313000961;01-12-2004;M;Duijn;;Mark Wouter;2548;REGIO 28;;1429;'S-GRAVENHAGE;27GZ;27GZ;;Mbo3 opleidingen;BOL;23354;Manager/ondernemer horeca;;;100A198;VAVO Haaglanden;;Seghersstraat;383.0;;2548LS;RIJSWIJK ZH
675692983;675692983;21-10-2003;V;Zabala;;Stephanio Jonayro Lucien;2532;REGIO 26;;1819;DELFT;27GZ;27GZ;;Mbo4 opleidingen;BOL;23269;Handhaver toezicht en veiligheid;;;100A186;School voor Lifestyle, Sport en Bewegen;;Zuidmede;66.0;;2532EL;BODEGRAVEN
308987807;308987807;10-07-2004;M;Kooij;;Yelina;2526;REGIO 28;;493;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BBL;25321;Mbo- Verpleegkunde;;;100A184;School voor Gezondheidszorg Den Haag;;Soesterbergstraat;133.0;;2526AE;'S-GRAVENHAGE
631652937;631652937;07-01-2005;V;Awad;;Bradley Hans John;2632;REGIO 24;;581;ZOETERMEER;27GZ;27GZ;;Mbo4 opleidingen;BBL;23362;Manager/ondernemer horeca;;;100A176;School voor Orde & Veiligheid;;Ds van den Boschlaan;441.0;;2632BH;VOORBURG
453211707;453211707;09-12-1999;M;Çerçi;van;Julian Jacobus;2543;REGIO 28;;571;NOORDWIJK;27GZ;27GZ;;Mbo4 opleidingen;BBL;25232;Manager/ondernemer horeca;;;100A190;School voor Entreeopleidingen;;Joke Smitstraat;339.0;;2543AC;LEIDERDORP
649794190;649794190;25-04-2003;M;Achaibi;ten;Boen;3137;REGIO 25;;513;LANSINGERLAND;27GZ;27GZ;;VMBO bovenbouw;EX;25626;Autospuiter;;;100A190;School voor ICT;;Korte Koediefstraat;417.0;;3137CW;BEEKBERGEN
596972178;596972178;26-01-2006;M;Elvilia;van;Leen;2546;REGIO 29;;1798;KATWIJK;27GZ;27GZ;;Mbo2 opleidingen;BOL;5536;Vavo Gymnasium Nieuw Profiel Natuur en Gezondheid;;;100A192;School voor Gezondheidszorg Den Haag;;Taanstraat;1076.0;;2546SR;
231502925;231502925;14-06-2005;M;Lem;;Nnamdi Victor;3123;REGIO 28;;1637;DELFT;27GZ;27GZ;;Mbo4 opleidingen;BOL;25348;Assistent verkoop/retail;;;100A172;School voor Zorg en Welzijn Den Haag;;;27.0;;3123NM;'S-GRAVENHAGE
877128538;877128538;17-02-2003;V;Snijhorst;;Liberty Grace;2547;REGIO 28;;492;'S-GRAVENHAGE;27GZ;27GZ;;Mbo3 opleidingen;BOL;25190;Leidinggevende international hospitality;;;100A181;School voor Retail en Logistiek Delft;;Katwijkerbroek;19.0;;2547SG;RIJSWIJK ZH
851747233;851747233;11-12-2004;M;Wielenga;;Jessey Romana Elizabeth Marika;2542;REGIO 28;;497;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25274;Mbo- Verpleegkunde;;;101A783;School voor Retail en Logistiek Delft;;Koningstraat;236.0;;2542NT;'S-GRAVENHAGE
949093952;949093952;06-12-2003;V;Krul;;Joshua Miguel;2512;REGIO 28;;1687;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25572;Helpende Zorg en Welzijn;;;100A189;VAVO Haaglanden;;Nassaukade;189.0;;2512JH;ZOETERMEER
682264364;682264364;15-08-2002;M;Zuiderwijk;;Roos Alida Ina;2251;REGIO 28;;479;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25239;Technicus engineering;;;100A189;School voor Zorg en Welzijn Westland;;Neherkade;20.0;;2251CK;'S-GRAVENHAGE
628276617;628276617;01-07-2001;M;Sibeijn;;Mohamed Amien;2718;REGIO 28;;488;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BBL;25186;Manager/ondernemer horeca;;;101A729;School voor Metaal-, Elektro- en installatietechniek;;Spinozaplantsoen;16.0;;2718KD;'S-GRAVENHAGE
310443099;310443099;20-08-2003;M;Daoudi;van;Alain Nicolaas;2675;REGIO 28;;494;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25218;Mbo- Verpleegkunde;;;101A729;School voor Orde & Veiligheid;;Burg van Duyvendijklaan;137.0;;2675AP;'S-GRAVENHAGE
266424807;266424807;30-09-2005;V;Arensman;;Imane;2531;REGIO 28;;1658;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25771;Juridisch-administratief dienstverlener;;;100A190;School voor Economie Delft;;Laan van Wateringse Veld;17.0;;2531CB;'S-GRAVENHAGE
985958241;985958241;04-09-2006;M;Abdellaoui;;Nimeesha Altagracia;2547;REGIO 28;;558;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25226;Bedrijfsadministrateur;;;100A188;School voor Technologie en Engineering;;Middenstede;92.0;;2547EP;'S-GRAVENHAGE
125693457;125693457;10-01-2001;M;Karijodikromo;van;Robbie;3054;REGIO 29;;1852;KAAG EN BRAASSEM;27GZ;27GZ;;Mbo2 opleidingen;BOL;25234;Mbo-Verpleegkundige;;;100A178;School voor Metaal-, Elektro- en installatietechniek;;Koninginnehof;112.0;;3054SR;VLEUTEN
777158639;777158639;17-11-2004;M;Eck;;Nova;2531;REGIO 28;;494;'S-GRAVENHAGE;27GZ;27GZ;;Mbo3 opleidingen;BOL;25170;Aankomend onderofficier grondoptreden;;;100A196;School voor Zorg en Welzijn Delft;;Atlantastraat;24.0;;2531VK;
833335094;833335094;01-07-2001;V;Curiel;;Lucas;2498;REGIO 28;;499;'S-GRAVENHAGE;27GZ;27GZ;;Mbo3 opleidingen;BOL;25288;Tegelzetter;;;101A729;School voor Autotechniek en Mobiliteit;;Mui;121.0;;2498AT;'S-GRAVENHAGE
388983715;388983715;23-11-2005;M;Dolleman;;Tony Patrick;2563;REGIO 28;;495;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25365;Allround timmerman;;;100A180;School voor Maatschappelijke zorg en Verzorgende;;Ipenrodeplantsoen;121.0;;2563RM;'S-GRAVENHAGE
426982382;426982382;09-10-2004;M;Lindhout;;Melanie Johanna;2521;REGIO 28;;570;KATWIJK;27GZ;27GZ;;Mbo4 opleidingen;BOL;25629;Servicemedewerker gebouwen;;;100A198;School voor Zorg en Welzijn Leiden;;Erasmusweg;484.0;;2521CX;PIJNACKER
690178446;690178446;28-07-2004;M;Kandhai;;Nathaniël Kenzo Elijah;2211;REGIO 28;;503;MIDDEN-DELFLAND;27GZ;27GZ;;Mbo4 opleidingen;BOL;25549;Manager retail;;;100A191;International Hotel and Management School;;Robert Kochplaats;478.0;;2211DD;'S-GRAVENHAGE
402308272;402308272;16-11-2002;V;Özyürek;van;Fatimeh;2611;REGIO 28;;417;LEIDSCHENDAM-VOORBURG;27GZ;27GZ;;Mbo3 opleidingen;EX;23050;Persoonlijk begeleider gehandicaptenzorg;;;100A191;School voor Zorg en Welzijn Den Haag;;Westeinde;158.0;;2611XG;Leiderdorp
523346058;523346058;17-11-2003;V;Punselie;;Esperanza Elena;2564;REGIO 28;;1443;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25392;Business Administration & Control Specialist;;;100A175;Beauty, Hair & Fashion;;Jacob Marisstraat;48.0;;2564BG;WATERINGEN
279595718;279595718;28-08-2004;M;Spijker;van der;Djordy Joey;2498;REGIO 28;;508;VLAARDINGEN;27GZ;27GZ;;Mbo4 opleidingen;BOL;23130;Vavo-Mavo/Theoretische Leerweg Profiel Zorg en Welzijn;;;100A174;School voor Zorg en Welzijn Den Haag;;Hattemlaan;177.0;;2498BL;BARENDRECHT
201855987;201855987;07-02-2002;M;Verhagen;van;Stef Adrianus Johannes;2533;REGIO 27;;1820;ALPHEN AAN DEN RIJN;27GZ;27GZ;;Mbo1 opleidingen;BBL;25274;Mbo- Verpleegkunde;;;100A176;School voor Zorg en Welzijn Westland;;Narcisstraat;140.0;;2533AS;VOORSCHOTEN
380919763;380919763;13-03-2000;V;Moeharram;van;Noa;2622;REGIO 28;;475;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25146;Fashion Designer;;;100A190;School voor Maatschappelijke zorg en Verzorgende;;Zijde;45.0;;2622DV;'s-Gravenhage
139610266;139610266;01-07-2001;M;Luwawa Mambu;;Kim Luna;2215;REGIO 21;;496;LEIDEN;27GZ;27GZ;;Mbo2 opleidingen;BBL;25224;Mbo-Verpleegkundige;;;100A192;School voor Lifestyle, Sport en Bewegen;;Mesdagstraat;126.0;;2215XM;ZOETERMEER
765202394;765202394;26-10-2003;V;Rusman;;Ilias;2512;REGIO 28;;503;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BBL;25199;Monteur elektrotechnische installaties;;;100A174;School voor Economie Delft;;Straatweg;22.0;;2512SM;'S-GRAVENHAGE
137802958;137802958;27-10-2003;M;Burg;van;Daniel;2681;REGIO 40;;595;BODEGRAVEN-REEUWIJK;27GZ;27GZ;;Mbo4 opleidingen;BOL;25597;Zelfstandig werkend gastheer/-vrouw;;;100A188;School voor Zorg en Welzijn Delft;;Kuyperstraat;30.0;;2681EK;'s-Gravenhage
605592383;605592383;21-10-2003;V;Beekhuizen;;Yousri;2202;REGIO 28;;1755;'S-GRAVENHAGE;27GZ;27GZ;;Mbo3 opleidingen;BOL;25225;Manager/ondernemer horeca;;;100A191;International Hotel and Management School;;Harderwijkstraat;124.0;;2202AT;WATERINGEN
297816612;297816612;11-11-2006;M;Addicks;;Merlijn Henk;2583;REGIO 28;;506;ZOETERMEER;27GZ;27GZ;;Mbo2 opleidingen;BOL;25592;Schilder;;;100A188;School voor Zorg en Welzijn Westland;;Zeewindelaan;20.0;;2583BW;
880509079;880509079;13-10-2006;V;Huijser;;Bo;2263;REGIO 28;;482;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25262;Timmerman;;;100A180;School voor Zorg en Welzijn Delft;;Wingerd;146.0;;2263AD;'S-GRAVENHAGE
507459667;507459667;13-01-2006;V;Elsing;van;Nalyssa Ana Angelina;2545;REGIO 28;;312;KAAG EN BRAASSEM;27GZ;27GZ;;Mbo4 opleidingen;EX;25641;Coördinator sportinstructie, training en coaching;;;100A174;School voor Lifestyle, Sport en Bewegen;;Anna Bijnslaan;851.0;;2545TM;SCHIPLUIDEN
429013145;429013145;16-10-2000;V;Akdemir;de;Yassine;2564;REGIO 26;;590;RIJSWIJK;27GZ;27GZ;;Mbo2 opleidingen;;25198;Specialist transport en logistiek;;;100A186;School voor Bouw en Infra;;Mient;447.0;;2564BZ;ALPHEN AAN DEN RIJN
442171407;442171407;09-11-2003;M;Slijkoord;;Ahmet;2671;REGIO 28;;479;'S-GRAVENHAGE;27GZ;27GZ;;Mbo3 opleidingen;BOL;25761;Entree;;;100A198;BAS;;Neherkade;16.0;;2671KM;ZOETERMEER
458927631;458927631;25-01-2003;V;Brabander;van;Nigel Ruben;2685;REGIO 28;;554;'S-GRAVENHAGE;27GZ;27GZ;;Mbo3 opleidingen;BOL;25704;Timmerman;;;100A175;School voor Zorg en Welzijn Westland;;Goudvinklaan;34.0;;2685GE;'S-GRAVENHAGE
970130182;970130182;14-01-2005;M;Jansen;;Kimberly Elly;2742;REGIO 28;;475;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25660;Helpende Zorg en Welzijn;;;100A189;School voor Lifestyle, Sport en Bewegen;;Aletta Jacobsstraat;37.0;;2742VZ;'S-GRAVENHAGE
837951680;837951680;03-11-2004;V;Velde;;Sinem;2525;REGIO 28;;567;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25356;Salonmanager;;;100A173;School voor ICT;;Paardebloem;117.0;;2525TV;DELFT
132594693;132594693;05-11-2002;V;Saou;van;Senon;2802;REGIO 29;;486;RIJSWIJK;27GZ;27GZ;;Mbo4 opleidingen;BOL;25727;IT systems and devices;;;100A191;VAVO Haaglanden;;Van der Lelijstraat;96.0;;2802ZW;'S-GRAVENHAGE
967178530;967178530;02-11-2003;V;Vrij;;Abdulai Gibril;2273;REGIO 28;;495;ROTTERDAM;27GZ;27GZ;;Mbo4 opleidingen;BOL;25336;Coördinator beveiliging;;;100A173;School voor Technologie en Engineering;;Multatuliweg;27.0;;2273DT;
